trialJobId,activation,intermediate,optimizer,dropout,test_frac,learning_rate,layer_1,preweight,epochs,batch_size,layer_2,train_frac,regularization,reward
n0BZ8,relu,"[0.9797619047619047,0.9848099073911996]",adam,0.09812425252500566,0.15,0.00014428792713747,180,43,200,50,48,0.7,0.0013072187038743093,0.9848099073911996
sFWrc,elu,"[0.9791666666666667,0.9935711206153339]",adam,0.063972536663047,0.15,0.0015170637861784088,171,46,200,5,28,0.7,0.032111983958307826,0.9935711206153339
lGnHt,elu,"[0.9788690476190476,0.9897796930377021]",adam,0.1375812489786106,0.15,0.0008795791108423415,196,36,200,50,107,0.7,0.05402473414139933,0.9897796930377021
ZjIsV,elu,"[0.981547619047619,0.9963259611235713]",adam,0.14967309669004533,0.15,0.00249793465257267,10,54,200,10,87,0.7,0.041017543979837784,0.9963259611235713
sWWtY,relu,"[0.9773809523809524,0.9832278172254487]",adam,0.023671812798460763,0.15,0.0005223523059243007,135,30,200,30,162,0.7,0.04272785691406101,0.9832278172254487
iwuyY,elu,"[0.6023809523809524,0.5772320333341272]",adam,0.12061108385545244,0.15,2.0088566497405636e-06,184,48,200,100,73,0.7,0.06070617014337923,0.5772320333341272
WfL0e,elu,"[0.9699404761904761,0.9818380932568577]",adam,0.08904931337742801,0.15,0.00029386142003959346,166,38,200,5,53,0.7,0.013216801488994356,0.9818380932568577
YTJ5v,tanh,"[0.9773809523809524,0.9836714864083284]",adam,0.10949798085467115,0.15,0.005999708017054381,189,44,200,50,32,0.7,0.03547845966377858,0.9836714864083284
O1iiU,elu,"[0.9779761904761906,0.9805792206348146]",adam,0.1802406765585406,0.15,0.010213662777527086,76,63,200,70,131,0.7,0.06557740106912538,0.9805792206348146
dCNue,elu,"[0.9616071428571429,0.9586485497261359]",SGD,0.20308926594328575,0.15,0.0020105617845933474,175,55,200,50,184,0.7,0.05061692243191489,0.9586485497261359
SbRqx,relu,"[0.9764880952380952,0.9831877394412085]",adam,0.052101553602526426,0.15,0.0035825009855063837,91,52,200,5,125,0.7,0.04472560332730964,0.9831877394412085
bRfnE,elu,"[0.9776785714285714,0.992311939268461]",adam,0.12682890592037957,0.15,0.0007353020229052316,193,42,200,30,98,0.7,0.006194134021871783,0.992311939268461
xLD8a,elu,"[0.9788690476190476,0.9917255521691579]",adam,0.07367182601457874,0.15,0.00016801970956294114,143,33,200,100,114,0.7,0.027274543302955135,0.9917255521691579
i4fHk,elu,"[0.9785714285714286,0.9839220253804315]",adam,0.17115193545786542,0.15,0.0010652511531874123,148,40,200,50,63,0.7,0.031001297849649785,0.9839220253804315
cpLIE,relu,"[0.5,0.836459285177375]",adam,0.04335897013319998,0.15,0.020224817135614734,180,41,200,5,80,0.7,0.048782123769647585,0.836459285177375
aVTmN,elu,"[0.974702380952381,0.9805985135827813]",adam,0.09990950387844508,0.15,0.001507062773334117,79,45,200,50,146,0.7,0.05773874302601251,0.9805985135827813
rgFh8,tanh,"[0.9830357142857142,0.9763806582545647]",adam,0.1618047664105236,0.15,0.00038336890222356016,102,47,200,10,193,0.7,0.052627545957933786,0.9763806582545647
TRRgh,elu,"[0.9532738095238095,0.95648332507219]",SGD,0.0283596098369331,0.15,0.002076525930116815,167,68,200,30,70,0.7,0.038148596258302234,0.95648332507219
Gf7GC,elu,"[0.9764880952380952,0.9736143295720942]",adam,0.14194274126629183,0.15,0.00019543282419657624,197,39,200,100,94,0.7,0.04641416241164661,0.9736143295720942
IUk9l,elu,"[0.9788690476190476,0.9851770496953052]",adam,0.08092372199797586,0.15,0.006917673634819934,200,43,200,5,45,0.7,0.011733353866580105,0.9851770496953052
