trialJobId,optimizer,intermediate,learning_rate,epochs,regularization,layer_1,preweight,train_frac,activation,reward,batch_size,dropout,layer_2,test_frac
ikgat,adam,"[0.5130325814536342,0.6694010025452654]",0.040794124215697544,200,0.0019936308367275372,149,43,0.7,elu,0.6694010025452654,10,0.33973113901581226,77,0.15
J4j4f,adam,"[0.5604010025062657,0.6991553995212083]",0.007369219503581668,200,0.015416968575498272,110,46,0.7,relu,0.6991553995212083,5,0.32151286765473314,119,0.15
QyPzg,adam,"[0.6025062656641604,0.7018371834737985]",0.004604911030215924,200,1.3878130693751115e-05,141,49,0.7,relu,0.7018371834737985,100,0.1541725033345797,64,0.15
gbdT9,adam,"[0.555889724310777,0.7050694253320462]",0.011750466975509398,200,0.018775942498016982,93,53,0.7,relu,0.7050694253320462,100,0.1793184645198974,89,0.15
upoFc,adam,"[0.531328320802005,0.6835700931013431]",0.023201936361706886,200,0.006196816284593241,86,50,0.7,elu,0.6835700931013431,30,0.2388334246601535,72,0.15
gT5s0,adam,"[0.5137844611528821,0.6625443553335632]",0.002483335261408242,200,0.008045876679220893,156,32,0.7,relu,0.6625443553335632,100,0.18928007360910068,143,0.15
Qm5ye,adam,"[0.5182957393483709,0.6584348609718165]",0.001541557850371068,200,0.050061426717241585,58,52,0.7,tanh,0.6584348609718165,5,0.3771144004186134,83,0.15
ncMfk,adam,"[0.5353383458646618,0.7218994979908293]",0.0010452728106067153,200,0.004355474895316547,127,40,0.7,relu,0.7218994979908293,100,0.16319302254077295,152,0.15
jAQOl,adam,"[0.5112781954887218,0.6527698824319832]",0.003341377539112379,200,0.044464592140209126,65,48,0.7,elu,0.6527698824319832,10,0.2699785343421891,95,0.15
PgODE,adam,"[0.525563909774436,0.6339113818507596]",0.008627672374035158,200,0.04069919732710006,131,55,0.7,relu,0.6339113818507596,100,0.2011652848029526,102,0.15
Uvbl1,SGD,"[0.6045112781954887,0.6874973755590222]",0.03085955648994306,200,0.025002433700802844,138,45,0.7,relu,0.6874973755590222,50,0.17264983674861098,107,0.15
ThDv3,adam,"[0.587468671679198,0.7393702706812599]",0.014340009260766378,200,1.1626248651115792e-05,170,36,0.7,relu,0.7393702706812599,100,0.21211114968798633,132,0.15
F1N29,adam,"[0.39022556390977436,0.5605870398269402]",0.09517216471558025,200,0.020415705130609516,120,43,0.7,tanh,0.5605870398269402,5,0.2272291282003508,58,0.15
LGiqU,adam,"[0.543859649122807,0.714359097805789]",0.002032312344399372,200,0.010650427094542354,113,46,0.7,elu,0.714359097805789,100,0.1449816885946213,113,0.15
yXIaD,adam,"[0.5639097744360902,0.7250606791299515]",0.005739964920702371,200,0.013437818570951943,144,47,0.7,relu,0.7250606791299515,70,0.18217353668467326,85,0.15
nm92r,adam,"[0.7195488721804513,0.63515432724955]",0.0008338724443246462,200,0.06046255578367552,102,38,0.7,relu,0.63515432724955,100,0.28394985790219307,79,0.15
iaHPw,adam,"[0.5639097744360902,0.6442429866198507]",0.004197042439756672,200,0.005722606267277597,164,42,0.7,relu,0.6442429866198507,10,0.1018812087963679,121,0.15
dLDpt,adam,"[0.5353383458646617,0.7085363677866805]",0.0013097596817648737,200,0.0351991320983806,135,45,0.7,elu,0.7085363677866805,5,0.13017225355488848,137,0.15
VWGOZ,adam,"[0.5609022556390977,0.7012469230116289]",0.0030642494402710815,200,0.0020456911421495457,124,50,0.7,relu,0.7012469230116289,100,0.1541163732786619,91,0.15
lYcmQ,adam,"[0.5263157894736843,0.7078869047619047]",0.011129698714804072,200,0.00845970180450869,130,48,0.7,tanh,0.7078869047619047,30,0.19222238092583718,98,0.15
o6vtL,adam,"[0.5649122807017545,0.7039013443639929]",0.00035685833067129367,200,0.004208430046842452,119,16,0.7,relu,0.7039013443639929,100,0.20389474821251619,126,0.15
VDieg,adam,"[0.5639097744360904,0.7307528912894321]",0.0063618992621416424,200,3.778997323391521e-05,153,40,0.7,elu,0.7307528912894321,100,0.1681476589170171,68,0.15
aQQ87,SGD,"[0.5388471177944861,0.7029414342337198]",0.008212775610372125,200,0.002010774788191849,116,51,0.7,relu,0.7029414342337198,5,0.11447640961515346,109,0.15
c5IfV,adam,"[0.5904761904761905,0.7122962199164036]",0.0005707925944543138,200,0.012111031584526052,158,50,0.7,relu,0.7122962199164036,100,0.22236623708933748,76,0.15
N44Xe,adam,"[0.5403508771929825,0.7576023279294027]",0.0023611191771459347,200,0.006828671540485179,106,44,0.7,relu,0.7576023279294027,10,0.23452547454868455,88,0.15
GQ6j8,adam,"[0.5538847117794486,0.7090971547923293]",0.0003138106120608791,200,3.7680050361648884e-05,178,52,0.7,relu,0.7090971547923293,5,0.16030245933096796,82,0.15
HL92G,adam,"[0.5889724310776943,0.6617851419413919]",1.229474922787897e-05,200,0.0034838822364385395,185,53,0.7,relu,0.6617851419413919,5,0.16537881421258332,85,0.15
Ft5xr,adam,"[0.58796992481203,0.6919066898014267]",0.0004408079222707213,200,0.004586180978525672,191,51,0.7,relu,0.6919066898014267,5,0.15159940636160507,93,0.15
UIA72,adam,"[0.549874686716792,0.6457553137651821]",0.00037095939606866476,200,0.00318721901117774,184,52,0.7,relu,0.6457553137651821,5,0.1581399949596595,90,0.15
sPF8a,adam,"[0.5528822055137844,0.6856993755513493]",0.0007827971020708636,200,0.0017734029813071134,174,55,0.7,relu,0.6856993755513493,5,0.1743071790525684,80,0.15
XHVoq,adam,"[0.5037593984962406,0.6804402176770598]",8.736289364388224e-05,200,0.00537883756223201,189,49,0.7,relu,0.6804402176770598,5,0.16915706651812445,87,0.15
kWec1,adam,"[0.5388471177944862,0.6755488560893566]",0.00018861883181324607,200,0.003546762744663956,195,54,0.7,relu,0.6755488560893566,5,0.13888601720804267,96,0.15
