test_frac,reward,layer_1,train_frac,batch_size,preweight,intermediate,activation,trialJobId,learning_rate,optimizer,epochs,layer_2,regularization,dropout
0.15,0.38950094814619207,144,0.7,30,53,"[0.5223057644110276,0.38950094814619207]",elu,okkQh,0.00014069506951046602,SGD,200,149,0.07010050646697119,0.23912655625436047
0.15,0.6795431538306989,121,0.7,10,44,"[0.593483709273183,0.6795431538306989]",elu,q8AYj,0.0005642779305919455,adam,200,80,0.053888422032068194,0.37214131467199074
0.15,0.5966810325079234,93,0.7,70,18,"[0.6426065162907267,0.5966810325079234]",relu,qJ8jz,0.03252966449444013,SGD,200,172,0.025058841550297122,0.1762654066048836
0.15,0.6616782623982271,149,0.7,5,26,"[0.5518796992481203,0.6616782623982271]",elu,U1IJM,0.001303332475864279,adam,200,134,0.03363161839627735,0.1476381973398499
0.15,0.4405150607220104,108,0.7,30,70,"[0.5413533834586467,0.4405150607220104]",elu,xMr5X,2.4472959235548616e-05,SGD,200,95,0.006467304469598227,0.2080234825198831
0.15,0.664415560605644,57,0.7,50,35,"[0.5869674185463659,0.664415560605644]",tanh,tGEKL,0.01079608113944789,adam,200,69,0.045574740604928186,0.347393041997411
0.15,0.7128341414237063,21,0.7,30,51,"[0.6320802005012531,0.7128341414237063]",relu,SeXjj,0.11170271104057303,adam,200,155,0.01192557600961733,0.2914666216291673
0.15,0.4832564531188819,175,0.7,100,57,"[0.5834586466165413,0.4832564531188819]",elu,mrkkR,5.336846702620125e-06,SGD,200,199,0.09877111289772472,0.38432503545818075
0.15,0.596449291270033,130,0.7,5,19,"[0.6165413533834586,0.596449291270033]",tanh,rxrpQ,8.521919642146458e-05,adam,200,87,0.05773664877692572,0.3252329294938598
0.15,0.6850860340921193,101,0.7,30,31,"[0.5283208020050125,0.6850860340921193]",elu,NnkOz,0.051895103635359575,adam,200,167,0.01854623408855883,0.3044146485707762
0.15,0.6811698489879822,74,0.7,50,14,"[0.5488721804511278,0.6811698489879822]",relu,Jdn8V,0.0007811524384795538,adam,200,43,0.005662219462102113,0.09662856151791022
