reward,batch_size,regularization,train_frac,epochs,preweight,test_frac,layer_2,trialJobId,learning_rate,dropout,optimizer,layer_1,activation,intermediate
0.8563818378467805,100,0.0541280944314776,0.7,200,51,0.15,29,x1A9O,4.726095694903554e-06,0.2060315494687844,adam,97,elu,"[0.8464285714285713,0.8563818378467805]"
0.8793829544982124,70,0.0673416833419141,0.7,200,46,0.15,49,pOgIi,0.0010500856014545932,0.09279920448375958,adam,116,relu,"[0.8464285714285713,0.8793829544982124]"
0.8566375096568152,5,0.0753076994371766,0.7,200,34,0.15,125,QFXSk,5.366156779987699e-05,0.06012231690551709,SGD,134,elu,"[0.8398809523809524,0.8566375096568152]"
0.882679796710422,70,0.08472365556155434,0.7,200,70,0.15,107,XWbBU,0.00021278485612420903,0.11792352289709779,adam,39,relu,"[0.8529761904761906,0.882679796710422]"
0.8703100031232818,30,0.011565886334830036,0.7,200,36,0.15,40,iX2tb,0.004615128897675011,0.22416359485492202,adam,51,tanh,"[0.732142857142857,0.8703100031232818]"
0.5724444631310416,100,0.0948729761419306,0.7,200,43,0.15,12,zxChY,0.04062224961343412,0.29065978620646393,SGD,171,elu,"[0.49017857142857146,0.5724444631310416]"
0.870474211232992,10,0.025035553908650227,0.7,200,69,0.15,77,BTpmA,0.019432587453832244,0.023783653051719006,adam,79,tanh,"[0.5851190476190476,0.870474211232992]"
0.553983621505046,5,0.059816106940701684,0.7,200,21,0.15,60,bGekP,0.19568276341319035,0.06836206973259695,adam,100,relu,"[0.5,0.553983621505046]"
0.8989890627757481,70,0.04695420450779911,0.7,200,30,0.15,93,QzTUo,0.00038916803748070285,0.08879217589202837,adam,87,elu,"[0.856547619047619,0.8989890627757481]"
0.8808892795354945,50,0.034501274178839775,0.7,200,58,0.15,164,OkPlV,0.001621671060938001,0.10834371397691211,SGD,28,tanh,"[0.8684523809523809,0.8808892795354945]"
0.8773138089659518,30,0.005684445297626531,0.7,200,39,0.15,146,LnMit,2.6848248618687424e-06,0.24581643207944343,adam,113,relu,"[0.8422619047619048,0.8773138089659518]"
0.8905922193013014,70,0.01579664575651025,0.7,200,13,0.15,184,Mbukd,0.003882855308847709,0.1526547146892268,adam,39,elu,"[0.8339285714285714,0.8905922193013014]"
0.64951477796039,5,0.032982774873392316,0.7,200,66,0.15,35,G0SA0,1.3696163505069185e-06,0.19290235369366113,SGD,11,relu,"[0.6976190476190476,0.64951477796039]"
0.8797890295030978,100,0.040570705452960695,0.7,200,25,0.15,72,SmED6,0.08501112160251799,0.04569410020207436,adam,71,tanh,"[0.5818452380952381,0.8797890295030978]"
0.8972832489710021,10,0.05320552498157355,0.7,200,46,0.15,101,PjwC8,0.00010211972419272651,0.029165507589933352,adam,141,elu,"[0.8416666666666666,0.8972832489710021]"
0.8515014229645377,5,0.0006459619932078289,0.7,200,54,0.15,83,vP6Gw,3.514856953226353e-05,0.1300976558570219,adam,47,relu,"[0.8642857142857142,0.8515014229645377]"
0.8844980019100562,70,0.0739990767363448,0.7,200,49,0.15,127,uJmFT,7.695641733034219e-06,0.007347622188066647,adam,58,elu,"[0.856547619047619,0.8844980019100562]"
0.8478691863720916,50,0.0459098918581933,0.7,200,18,0.15,46,oDlB6,0.0009005041002219679,0.07560048463608625,SGD,34,tanh,"[0.850595238095238,0.8478691863720916]"
0.8768858737449474,30,0.02637170390595726,0.7,200,64,0.15,116,at1RZ,0.0002918641183225417,0.2817475874079862,adam,84,relu,"[0.8505952380952382,0.8768858737449474]"
0.9184100041735265,5,0.06338562210636142,0.7,200,35,0.15,24,JxrM8,1.5671018470330157e-05,0.058594572244462864,adam,63,elu,"[0.8553571428571429,0.9184100041735265]"
0.8812695382908673,70,0.0824168870900148,0.7,200,44,0.15,24,D5nYu,1.5681037564049213e-05,0.04927219760575837,adam,158,elu,"[0.8696428571428572,0.8812695382908673]"
0.6950417558308659,100,0.09772566636266569,0.7,200,36,0.15,13,e3DDE,1.8319856274075307e-06,0.3436463441734191,adam,19,relu,"[0.6726190476190477,0.6950417558308659]"
0.8946824153724607,5,0.06304232903267237,0.7,200,31,0.15,33,am2gE,0.0023146268236372966,0.003169592241131527,SGD,63,tanh,"[0.8821428571428571,0.8946824153724607]"
0.9071903237999333,10,0.09045330734723991,0.7,200,28,0.15,61,SxokW,0.0001482400384943056,0.17238468123895784,adam,101,elu,"[0.8458333333333334,0.9071903237999333]"
0.8798195343660764,70,0.07187732794388131,0.7,200,40,0.15,43,RMG8b,6.836878454694731e-05,0.03223899281262493,adam,130,relu,"[0.8523809523809524,0.8798195343660764]"
0.8600307042756137,50,0.07888845418772007,0.7,200,46,0.15,55,wR8I3,5.024064946073427e-06,0.06397065042853095,adam,49,elu,"[0.8714285714285713,0.8600307042756137]"
0.7245089832961328,5,0.06754065830888759,0.7,200,59,0.15,21,fPmLN,2.014613257048759e-06,0.39598603670614274,SGD,123,relu,"[0.7625,0.7245089832961328]"
0.9062091868404636,10,0.08736446305977871,0.7,200,27,0.15,64,qPB96,0.00015552964009224964,0.08605367295430288,adam,100,elu,"[0.85,0.9062091868404636]"
