,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
E04Wa,1.5913333904767649e-06,70.0,0.2415203202332851,SGD,elu,0.057968461690973506,15.0,68.0,0.7,0.15,200.0,14.0,0.42527513227513225,0.14640981891206362,0.4988095238095237,0.12293648231833891
TMW2Y,1.0801072253561955e-05,100.0,0.1934126457314279,adam,tanh,0.03377899180579581,121.0,161.0,0.7,0.15,200.0,48.0,0.47404024943310663,0.16010617554109458,0.5913690476190476,0.12996141554122304
BGgq0,0.0017471448301214895,70.0,0.08595780105184114,SGD,relu,0.04700682100711662,115.0,83.0,0.7,0.15,200.0,23.0,0.5433830138115853,0.11137350075980604,0.5547619047619047,0.1438408590900519
jAFn2,0.0001052346587411486,70.0,0.11205958429909227,SGD,elu,0.06128671820845943,66.0,39.0,0.7,0.15,200.0,67.0,0.41762687015396144,0.17762143626508198,0.5494047619047618,0.09550001187211288
b6V3g,0.00135691218510046,10.0,0.2149545151534134,SGD,elu,0.05152968920376867,145.0,125.0,0.7,0.15,200.0,49.0,0.7030120032090429,0.14397671056006203,0.7464285714285714,0.1082351726921972
DeTqL,0.24267482810547253,50.0,0.3897113995847573,adam,elu,0.0839293884780406,149.0,86.0,0.7,0.15,200.0,54.0,0.7396014143143124,0.1339404783583705,0.5625,0.11658919925627742
IGdaT,0.03852195135884184,5.0,0.04778818896667732,SGD,relu,0.09179882470719647,158.0,153.0,0.7,0.15,200.0,59.0,0.6910402150759293,0.20170593230290043,0.6684523809523808,0.20464940154083128
NY6rq,3.1261743068763466e-05,30.0,0.05144452400602737,SGD,tanh,0.0488754323021281,78.0,196.0,0.7,0.15,200.0,38.0,0.42180725623582765,0.13656936039437392,0.4833333333333333,0.10965313275875671
UUKro,0.0005787998108155311,10.0,0.2278160390173996,adam,elu,0.07636977721417436,165.0,174.0,0.7,0.15,200.0,22.0,0.8801240306174891,0.08809790886745096,0.7586309523809524,0.12416422690841421
tMAYs,6.150678477379886e-05,50.0,0.20617536800194555,SGD,tanh,0.06652819427783634,101.0,153.0,0.7,0.15,200.0,26.0,0.43379027012369165,0.12251130313340243,0.6023809523809522,0.10997577552267616
hfkOA,1.5620639321040939e-06,10.0,0.10368290750611045,adam,relu,0.025789812751221875,149.0,86.0,0.7,0.15,200.0,36.0,0.5720226757369614,0.1297564848801098,0.6249999999999999,0.1255938275705041
xHB3F,0.00010334666216139268,30.0,0.08019089307157486,SGD,relu,0.02427041210140135,31.0,19.0,0.7,0.15,200.0,64.0,-1,-1,-1,-1
wy2Rf,0.007398060572161122,30.0,0.39760257843907576,SGD,elu,0.0214878776271096,42.0,182.0,0.7,0.15,200.0,59.0,0.7635736961451246,0.17914793027994036,0.7511904761904762,0.14317425122259914
UbtV8,0.0011473051228652045,50.0,0.2343818783434186,SGD,elu,0.052739911936304056,19.0,187.0,0.7,0.15,200.0,55.0,0.45380024737167596,0.15084446833265208,0.5375,0.15969806580614002
OlKNv,7.541663992842063e-06,5.0,0.1096223312449355,SGD,elu,0.07888530382685117,174.0,150.0,0.7,0.15,200.0,22.0,0.35976719576719574,0.1427196546564678,0.544047619047619,0.11667881375053182
cjJ3B,0.04153869057837725,30.0,0.306526681665802,adam,relu,0.08320302777653996,77.0,196.0,0.7,0.15,200.0,55.0,0.6322661534034932,0.13042150406288316,0.5339285714285714,0.10178571428571424
I6vOQ,3.7793794206428494e-06,30.0,0.19864809886712625,SGD,elu,0.06925548021696666,21.0,57.0,0.7,0.15,200.0,40.0,0.3781370374470348,0.13846625634231924,0.5836309523809524,0.10010313913019324
C7CNf,2.1535887264729203e-05,100.0,0.3283959262672698,SGD,tanh,0.010198842203820136,183.0,84.0,0.7,0.15,200.0,22.0,0.47634653078005795,0.14420602495600365,0.5029761904761905,0.09646714396075784
FDFDF,1.330292001563958e-06,70.0,0.043844630878240934,adam,relu,0.04848755317352951,31.0,15.0,0.7,0.15,200.0,47.0,0.40473118944547515,0.13046411762321994,0.4458333333333334,0.07610905247393852
hDNus,0.0030562329199040976,5.0,0.375580265641397,adam,tanh,0.05860892357701674,198.0,146.0,0.7,0.15,200.0,34.0,0.8371835642161068,0.09585513327648294,0.5744047619047619,0.14881547607143333
GN3Gz,0.00042323997301351525,100.0,0.013837277094954149,adam,tanh,0.04331077208076172,191.0,158.0,0.7,0.15,200.0,51.0,0.8451545872743177,0.06170356156235933,0.8583333333333332,0.018210783977117107
e60Nh,4.8489351550951565e-06,5.0,0.2629548652084816,adam,relu,0.07479064684714765,117.0,13.0,0.7,0.15,200.0,33.0,0.49796715453858315,0.13837737941686812,0.55,0.1283066055743569
aEqqI,5.114957314618873e-05,70.0,0.016916982091611476,adam,relu,0.07635839947574091,195.0,47.0,0.7,0.15,200.0,32.0,0.637725529100529,0.14493639626005905,0.6386904761904763,0.15227046775876774
FekCB,0.28172847075730556,30.0,0.2536821867062813,adam,tanh,0.054587484439673484,120.0,47.0,0.7,0.15,200.0,49.0,0.7306478454331302,0.11954810502638305,0.5136904761904761,0.17421369348513457
an2Xi,0.013611136797129459,10.0,0.2662468274727442,adam,relu,0.005529044172668075,17.0,31.0,0.7,0.15,200.0,52.0,0.7410385676318014,0.15901742950310252,0.5755952380952382,0.11679566483505728
V6pyn,7.242538529669877e-05,50.0,0.02863892816286553,adam,tanh,0.08920620709427857,86.0,133.0,0.7,0.15,200.0,33.0,0.7286702452797338,0.09442827179102399,0.8136904761904763,0.06460733041116266
aFBFB,0.00024355615175628524,50.0,0.04037472255691959,SGD,elu,0.009965466679100544,159.0,148.0,0.7,0.15,200.0,23.0,0.463537892740516,0.1346734076196536,0.5577380952380951,0.1834270400593743
