,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Yf0Fu,0.00011104125048461446,30.0,0.3452366363864683,adam,relu,0.022540340679884766,141.0,167.0,0.7,0.15,200.0,0.8604081413351929,0.0651801230554048,0.8726190476190476,0.01579345138264477
az6Wn,9.44259066616754e-05,100.0,0.25110166260810807,SGD,elu,0.07892041057538628,136.0,102.0,0.7,0.15,200.0,0.38846423694362114,0.18205028016658867,0.4321428571428571,0.14186660560839562
JQRg6,3.752062807466079e-06,30.0,0.12481197266504243,SGD,elu,0.09466325686984643,85.0,138.0,0.7,0.15,200.0,0.4171332199546486,0.1604503384312145,0.5023809523809524,0.12814081327668747
A051J,6.24736330265936e-06,50.0,0.046660741395378125,adam,tanh,0.053565776767124346,57.0,138.0,0.7,0.15,200.0,0.6266942698140003,0.186825630044305,0.7130952380952381,0.09634034764850088
uCsRA,3.3307132806545515e-06,30.0,0.3170157797970728,SGD,tanh,0.006683517414580909,38.0,47.0,0.7,0.15,200.0,0.4340473562676549,0.13568194673485018,0.4827380952380952,0.08822585233596872
FamUg,0.49854430167386043,100.0,0.2904695073606363,SGD,tanh,0.06357842374218818,63.0,161.0,0.7,0.15,200.0,0.8367012831118487,0.06116236006797024,0.5547619047619048,0.25722000606343665
xg92G,2.617424881259192e-06,50.0,0.3234146129558372,adam,relu,0.024385141506441912,93.0,40.0,0.7,0.15,200.0,0.5894297052154196,0.19012056262837623,0.675,0.132597886659197
KAJAH,0.012175101027277407,5.0,0.14908397112690516,SGD,relu,2.3069650393647836e-05,138.0,28.0,0.7,0.15,200.0,0.8533859021028309,0.07646920916925896,0.8839285714285714,0.008096113398056784
mF6Hg,1.919170385399267e-05,100.0,0.33783150934835865,SGD,relu,0.04884129240710991,94.0,82.0,0.7,0.15,200.0,0.4367756023264481,0.18443652514667375,0.4714285714285714,0.13322699841464555
HZx9G,0.16545811847385614,100.0,0.21108376220039418,adam,relu,0.069898804053571,55.0,63.0,0.7,0.15,200.0,0.7604894362645122,0.10958880451855693,0.5267857142857143,0.10888953242671602
XEjN2,0.0021869757575447603,70.0,0.396121093039216,SGD,elu,0.025681827771819876,83.0,152.0,0.7,0.15,200.0,0.8061318533272083,0.0723628199250573,0.8392857142857142,0.03521476061368818
bQ65V,0.0007786323813301698,10.0,0.05638245380860121,adam,tanh,0.029729458734183225,189.0,89.0,0.7,0.15,200.0,0.8922646154192341,0.05863101418524188,0.855952380952381,0.02789374884252375
YvBof,0.014681627917031013,70.0,0.010202237022730244,adam,elu,0.07814938859104488,163.0,99.0,0.7,0.15,200.0,0.8311015367097699,0.08581693518442245,0.8714285714285716,0.03284074815269934
deKL8,0.00021953114564807975,50.0,0.19284479523005602,SGD,tanh,0.08188550917788254,195.0,26.0,0.7,0.15,200.0,0.5687829516635518,0.21171728905060835,0.6005952380952381,0.10876581647956823
g9fpi,0.00022722882609008197,10.0,0.2921161336350883,SGD,relu,0.0044725939691742655,70.0,49.0,0.7,0.15,200.0,0.6186324093827067,0.1812836140792366,0.6601190476190476,0.14564370567335744
kcs6q,0.00562575081148611,100.0,0.05347629035778474,adam,tanh,0.03262792965541744,29.0,172.0,0.7,0.15,200.0,0.8784945522738571,0.04900992514075516,0.8779761904761905,0.011056056917265895
mYPXr,0.00095582642660198,30.0,0.15288562508551384,SGD,elu,0.061082499218932024,120.0,46.0,0.7,0.15,200.0,0.7688251538461001,0.05954622657058174,0.8119047619047619,0.04873687973918742
N29TF,1.1325526765989444e-06,100.0,0.010533992999288345,SGD,relu,0.09129158542250278,95.0,126.0,0.7,0.15,200.0,-1,-1,-1,-1
waqqv,0.08798437867511817,30.0,0.12469627795839373,adam,elu,0.014778709546283186,180.0,135.0,0.7,0.15,200.0,0.8660205588136074,0.05520602664835033,0.8050595238095237,0.11176576030134165
