,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
pnsiH,2.729376273719975e-06,10.0,0.11530293385609136,SGD,tanh,0.03402951382957682,141.0,53.0,0.7,0.15,200.0,49.0,0.3950342689251791,0.13191267349452274,0.5360446570972885,0.1840560811296141
XW6Zx,0.4571791449606188,10.0,0.38067667274276235,adam,tanh,0.08429775852034012,24.0,113.0,0.7,0.15,200.0,59.0,0.6099881278092476,0.08808767762293218,0.551993620414673,0.13515407855510686
Nznme,9.026149549998537e-06,100.0,0.16587163475659825,adam,elu,0.022655799973006797,50.0,179.0,0.7,0.15,200.0,14.0,0.5246385066385494,0.11088333300125927,0.5307814992025517,0.1614406977221942
XGd2v,6.233688060151191e-05,100.0,0.2910727447138696,SGD,elu,0.021989256490028287,40.0,196.0,0.7,0.15,200.0,66.0,0.4570620249303687,0.145689470539163,0.491866028708134,0.15256281792729698
jULx7,0.4954443456351049,100.0,0.36100810346601786,adam,elu,0.0664692224708819,49.0,154.0,0.7,0.15,200.0,25.0,0.6960572107142478,0.14392172732578565,0.5357256778309409,0.236358793511397
veAIN,0.001154933317665927,50.0,0.09238871073972987,adam,tanh,0.0786720862680892,198.0,186.0,0.7,0.15,200.0,55.0,0.806836015620467,0.14030414470904187,0.8280701754385964,0.14197050122410704
kwWtz,0.013377087039922275,100.0,0.3264819131281881,SGD,elu,0.055262446126934574,115.0,98.0,0.7,0.15,200.0,45.0,0.6746045613510154,0.10119771176147335,0.7671451355661881,0.10468158903618462
QjEBL,0.03085066472148533,100.0,0.08823300982979024,SGD,elu,0.02575234482217439,121.0,84.0,0.7,0.15,200.0,38.0,0.7609958685284746,0.11840535542019008,0.852153110047847,0.08626620141939834
zOYLE,0.47254812386721545,30.0,0.3439228906661005,SGD,elu,0.04798075633911883,154.0,10.0,0.7,0.15,200.0,11.0,0.8240844887006056,0.06880723884816443,0.8609250398724084,0.12275740003062048
Ce8Ug,0.06003267326504525,70.0,0.3241992152367185,adam,elu,0.04016980074791387,67.0,14.0,0.7,0.15,200.0,15.0,0.8204989198760171,0.0732569087753749,0.8688995215311005,0.06863541441910412
s6MYu,8.553065345687426e-06,5.0,0.21545833013545754,SGD,tanh,0.045968968145106794,45.0,196.0,0.7,0.15,200.0,51.0,0.5445716294637906,0.13396254093778046,0.5850079744816588,0.1835015388922161
BZnA1,0.18006792591760515,100.0,0.11014616623967424,SGD,elu,0.002260298812957429,39.0,46.0,0.7,0.15,200.0,61.0,0.87052088912705,0.05362439019481373,0.9003189792663477,0.023723245264184248
JhrKg,0.018557884951248278,10.0,0.3140534817224276,SGD,tanh,0.03465467918863903,44.0,91.0,0.7,0.15,200.0,47.0,0.8177374104532931,0.10462784430717294,0.8631578947368419,0.11645102555293209
FSwSe,0.010491152731367413,70.0,0.02930506742100354,adam,tanh,0.06875838989329253,97.0,84.0,0.7,0.15,200.0,46.0,0.8444462042788864,0.08106313157087121,0.8147527910685806,0.15874949875873712
ceWLf,0.007020646140220095,100.0,0.3157885453168991,adam,elu,0.03548125742382224,12.0,115.0,0.7,0.15,200.0,58.0,0.9015385517376269,0.051327032156158525,0.8964912280701756,0.014935077969517655
GyIjT,5.0903301203946e-06,30.0,0.28834891072119895,adam,tanh,0.04895967400985688,35.0,11.0,0.7,0.15,200.0,13.0,0.5228693175357879,0.16443098155936067,0.5950558213716108,0.1574905819425849
ErWUP,0.24834363740103985,70.0,0.17012722246247103,adam,relu,0.01193628792297401,154.0,163.0,0.7,0.15,200.0,57.0,0.5,0.0,0.5,0.0
wVB7B,0.4929092637496317,50.0,0.30494394241005773,SGD,tanh,0.039852700754845295,103.0,53.0,0.7,0.15,200.0,48.0,0.8469242882278772,0.10290018002100987,0.9110047846889954,0.01111403597459925
HzwtJ,0.0001854274437265691,50.0,0.34417872592466225,SGD,relu,0.055971850289983166,48.0,155.0,0.7,0.15,200.0,16.0,0.4520348343946664,0.14175033207566767,0.5012759170653908,0.13188558344957696
vVyU6,0.1772016436245367,100.0,0.07760176646138138,SGD,tanh,0.03880280205194955,29.0,106.0,0.7,0.15,200.0,13.0,0.8409681305086047,0.07961020465275519,0.9089314194577354,0.0059440654397397725
DwUeP,0.22333967814051325,50.0,0.2678886692798401,adam,relu,0.03852924745486707,189.0,196.0,0.7,0.15,200.0,69.0,0.510951175172236,0.0210758200628756,0.5,0.0
JZ6MQ,0.0011578721345357125,50.0,0.11764798123731435,adam,relu,0.020042861968111225,18.0,144.0,0.7,0.15,200.0,51.0,0.8561888334999926,0.14299720916650402,0.869377990430622,0.0918595215221507
EkyAq,4.0556380701489135e-06,10.0,0.0743590425555194,SGD,elu,0.08299129878200118,138.0,39.0,0.7,0.15,200.0,27.0,0.431972529308237,0.09648834383659592,0.42663476874003187,0.14531641290731556
jInah,6.069130387417206e-06,5.0,0.08968526469489113,SGD,tanh,0.08765602280146961,120.0,140.0,0.7,0.15,200.0,39.0,0.45365839103463557,0.13688586919884138,0.5658692185007974,0.12599034970213321
KWOlh,0.1345409559187799,5.0,0.16072547692570885,adam,relu,0.053134840962349494,107.0,22.0,0.7,0.15,200.0,13.0,0.5,0.0,0.5,0.0
qfPDv,0.003513656450935479,70.0,0.18539070378355077,SGD,elu,0.07396491409424313,138.0,29.0,0.7,0.15,200.0,54.0,0.6423907320303567,0.11849734363471062,0.7149920255183413,0.13451898755289346
yaxdg,0.00773654644605113,5.0,0.12529095973555937,adam,relu,0.018384140295998563,18.0,121.0,0.7,0.15,200.0,51.0,0.7080142073015756,0.14159802748903896,0.6141945773524721,0.17458972537517348
sSaj0,0.04746820837255042,5.0,0.028011493180617554,adam,elu,0.0947177822087877,150.0,185.0,0.7,0.15,200.0,57.0,0.6696083441825554,0.12648534007437512,0.5,0.0
