,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
KHEhd,0.01340169247105771,30.0,0.13831466788275187,adam,relu,0.01321966626050255,95.0,193.0,0.7,0.15,200.0,15.0,0.9529456433668763,0.025976712523756253,0.9473684210526315,0.00744664595210769
Ljr2O,0.013193388774562964,50.0,0.02492953311365871,SGD,elu,0.007753629172954014,123.0,151.0,0.7,0.15,200.0,66.0,0.7963428783671228,0.10397379688303532,0.9049441786283892,0.03685694654708217
L13Do,6.426927768093098e-06,30.0,0.2647751125899764,adam,elu,0.09340844552176258,143.0,106.0,0.7,0.15,200.0,37.0,0.5799733970679857,0.13117310263139587,0.6977671451355661,0.152502866372524
ejoHf,3.398697600004646e-05,70.0,0.2836703701507777,SGD,elu,0.09630923876869797,66.0,82.0,0.7,0.15,200.0,65.0,0.4549752890128841,0.10351607640944172,0.5095693779904307,0.1687355848221441
QGBQy,0.09513561639910208,10.0,0.23416253555935757,SGD,tanh,0.09381621394556607,103.0,163.0,0.7,0.15,200.0,31.0,0.9053811567990115,0.04136452355044093,0.9393939393939392,0.011003628906322416
wR45r,0.014388439018861396,5.0,0.35743857148736474,adam,tanh,0.03846852404993439,118.0,86.0,0.7,0.15,200.0,33.0,0.923025438540775,0.030424831773675422,0.937799043062201,0.02662091723598893
AUJMR,6.288278542828007e-05,70.0,0.0991439017503998,SGD,elu,0.06312955095278575,62.0,105.0,0.7,0.15,200.0,62.0,0.44099748123503374,0.13781126574966762,0.48389154704944176,0.16089682243367362
RalXB,1.916346872601542e-06,70.0,0.19951286678525731,adam,elu,0.06730134888350607,13.0,124.0,0.7,0.15,200.0,37.0,0.47829748777944064,0.12275516215587925,0.5275917065390748,0.09291773499074724
RsHOI,9.023876914070551e-06,70.0,0.10646947206284452,adam,elu,0.08909556981185121,19.0,66.0,0.7,0.15,200.0,69.0,0.49649239989718225,0.11706125464030574,0.47240829346092506,0.15156852916903465
KFl1l,0.08083248973377849,70.0,0.3307269676537671,SGD,elu,0.04273215573827863,72.0,137.0,0.7,0.15,200.0,14.0,0.8936981656591488,0.06731787944863724,0.9370015948963317,0.010464513366714032
pXHLz,0.0017232200166970235,10.0,0.1985235944501946,adam,relu,0.006095274969454889,195.0,137.0,0.7,0.15,200.0,65.0,0.9589135595877639,0.039633244528374606,0.9441786283891547,0.01023719715207734
xmEk7,0.0028933706471275496,10.0,0.3069973866488209,SGD,elu,0.09442947968444969,46.0,114.0,0.7,0.15,200.0,56.0,0.7853014739802171,0.08381835295712192,0.8982456140350876,0.03462651800985493
HQ4gr,0.036463584634403814,70.0,0.35909389395601,adam,relu,0.0774432173019501,123.0,196.0,0.7,0.15,200.0,64.0,0.9185440586811193,0.028208758987922498,0.9232854864433812,0.012768138794019451
WZ2Vs,0.00028323447455462963,100.0,0.3233674495476545,SGD,elu,0.051500919916793175,59.0,176.0,0.7,0.15,200.0,50.0,0.4367095979584471,0.11047006463833889,0.49457735247208917,0.11476484359589535
ehOJf,4.3959961996810604e-05,70.0,0.02821090804144908,adam,elu,0.005955188240507081,20.0,130.0,0.7,0.15,200.0,18.0,0.7597677219344079,0.11177830984083865,0.8615629984051036,0.09902700920585447
Xmzu6,1.576502121770077e-05,5.0,0.05169908653915303,SGD,elu,0.03080006611706876,132.0,127.0,0.7,0.15,200.0,34.0,0.4169093921589878,0.12310195874561591,0.4990430622009569,0.17296862119221684
WAzkz,0.0017593020826192445,100.0,0.3235122463955805,SGD,tanh,0.07296870481814043,62.0,185.0,0.7,0.15,200.0,29.0,0.4928156227279759,0.13495099922746118,0.5757575757575757,0.11181576931524922
lbTmx,0.00016954479970009788,10.0,0.31381324395832005,SGD,tanh,0.008258722637617177,95.0,125.0,0.7,0.15,200.0,40.0,0.5383524628420958,0.11969210456268825,0.5779904306220096,0.13984467216941163
xzr7s,0.0021107382563928237,100.0,0.012544860044466023,adam,tanh,0.02616860416584066,12.0,68.0,0.7,0.15,200.0,62.0,0.9262128454191147,0.05507951925233276,0.9441786283891547,0.012415630274978367
gO9u1,4.786445608725365e-06,100.0,0.3264639649046876,adam,relu,0.059097153943315245,50.0,171.0,0.7,0.15,200.0,68.0,0.411379651701275,0.1787556494176378,0.5143540669856459,0.12479439579601521
zB72b,0.020567184466445464,70.0,0.206226215259745,SGD,tanh,0.0556861745230943,62.0,143.0,0.7,0.15,200.0,37.0,0.7958876180999529,0.09434443847075052,0.9095693779904306,0.04417632522972352
aXJGh,0.022237304747494933,30.0,0.2556954249614719,SGD,tanh,0.07875296920520623,100.0,165.0,0.7,0.15,200.0,63.0,0.8646083201970283,0.044656851763763196,0.9333333333333333,0.007125457066567353
y7qXY,0.2336039092377591,50.0,0.07479001502523479,adam,relu,0.0504695578120378,136.0,191.0,0.7,0.15,200.0,64.0,0.8601332651244726,0.05380775745357585,0.8390749601275918,0.15136641738657575
aMFX1,0.44988510506793256,5.0,0.08065549499634234,adam,elu,0.0509913923214556,190.0,24.0,0.7,0.15,200.0,57.0,0.7111839985992506,0.13751814473518773,0.44457735247208935,0.045690718046110745
COh29,0.00020403175589292727,30.0,0.16512211213230882,adam,relu,0.028992247558420017,109.0,87.0,0.7,0.15,200.0,36.0,0.9072623659237173,0.03853362371631983,0.9382775119617225,0.008995271867434488
n1A7q,9.220855219978102e-06,50.0,0.1346791006180432,adam,relu,0.0051707686056250875,129.0,33.0,0.7,0.15,200.0,44.0,0.555571941467314,0.13562974641354744,0.6331738437001595,0.08709068658906359
PurWy,0.21464711556414853,50.0,0.113154808399019,SGD,elu,0.09103163910368868,195.0,50.0,0.7,0.15,200.0,55.0,0.9120221387518417,0.035800015826902724,0.9333333333333332,0.00982642539122767
