learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.007649868652103,zpWYM,111,200,0.61896858430733,elu,0.7,0.322709328629207,6,"[0.5797619047619047,0.6189685843073299]",107,30,adam,0.15,0.004835178672807
0.072063038225203,HHfAk,159,200,0.618470466869196,elu,0.7,0.282610989002664,2,"[0.5178571428571428,0.6184704668691963]",150,100,adam,0.15,0.01656215405936
0.028878849381666,ldtzA,79,200,0.617997834253592,elu,0.7,0.17766197399209,4,"[0.6005952380952382,0.617997834253592]",156,100,SGD,0.15,0.00832526311888
0.004591939337319,fQXpI,94,200,0.617804496711557,tanh,0.7,0.349759251283394,5,"[0.5892857142857143,0.6178044967115571]",67,30,adam,0.15,0.009411823476002
0.003789508832701,wSorY,97,200,0.617454152722371,relu,0.7,0.307986864515021,5,"[0.5669642857142858,0.6174541527223714]",14,10,adam,0.15,0.004000224584728
0.028979644443112,oMMwi,66,200,0.617369819623429,elu,0.7,0.301398736169528,3,"[0.536904761904762,0.617369819623429]",103,10,adam,0.15,0.004129774071748
0.005705624145638,whph6,100,200,0.617023345341397,relu,0.7,0.353313669084434,6,"[0.5934523809523808,0.6170233453413972]",77,30,adam,0.15,0.003241401048887
0.007870590224404,e1sV6,137,200,0.616753964762482,elu,0.7,0.34550838468486,7,"[0.5898809523809524,0.616753964762482]",118,30,adam,0.15,0.005697421956685
0.035801419765362,xmadw,109,200,0.616569887894932,tanh,0.7,0.198952849879484,3,"[0.5851190476190476,0.6165698878949318]",140,100,adam,0.15,0.005463326294044
0.010048966949923,gmEy2,121,200,0.616448926952359,elu,0.7,0.267921859753564,7,"[0.5892857142857143,0.6164489269523594]",117,30,adam,0.15,0.007781074474544
0.039575676346966,nWCeq,92,200,0.616405641076396,elu,0.7,0.066676429243878,4,"[0.4636904761904762,0.6164056410763961]",165,10,adam,0.15,0.020279332285598
0.097269150006989,KxX8W,45,200,0.616228564568497,tanh,0.7,0.335083980888405,4,"[0.5738095238095238,0.6162285645684967]",110,100,adam,0.15,0.023284876532066
0.014642394966703,DYCRV,135,200,0.616133678477282,elu,0.7,0.35925131292236,5,"[0.5357142857142858,0.6161336784772824]",65,10,adam,0.15,0.005275720182045
0.006621628549634,nzCWE,46,200,0.616080795466446,tanh,0.7,0.234308376443806,4,"[0.5726190476190476,0.6160807954664465]",128,5,adam,0.15,0.009593257848159
0.007761542073412,m02Ke,132,200,0.615947654015633,relu,0.7,0.387140206972707,6,"[0.5726190476190476,0.6159476540156326]",80,10,adam,0.15,0.004156752277788
0.01862909957245,gRanC,120,200,0.615689748375063,elu,0.7,0.342331651797917,6,"[0.5970238095238096,0.6156897483750634]",85,10,SGD,0.15,7.83990187001163E-05
0.046627712991528,DI1vA,146,200,0.615109648914206,elu,0.7,0.376512047415615,6,"[0.5190476190476191,0.615109648914206]",71,10,adam,0.15,0.009268761387932
0.02540170056923,k5Jfl,141,200,0.614931839311519,elu,0.7,0.360254899062716,7,"[0.5357142857142858,0.6149318393115193]",130,30,adam,0.15,0.046349914216223
