intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9431632653061224,0.9878280652032686]",xsUyx,68,57,50,0.00252184373595948,0.7,tanh,0.053474063953061576,0.9878280652032686,0.3578277719493044,10,200,adam,0.15
"[0.5503571428571429,0.932373462709419]",yeygU,67,87,50,0.25516218587676753,0.7,tanh,0.07264830420120574,0.932373462709419,0.3657289632192555,10,200,adam,0.15
"[0.9127551020408164,0.976052688918573]",iVHWy,17,32,50,0.02332072250684544,0.7,elu,0.054225150211221075,0.976052688918573,0.3899883328350062,10,200,adam,0.15
"[0.9394897959183673,0.9650557684238127]",dpb3g,45,14,50,0.0031320048303247945,0.7,tanh,0.06248458553396795,0.9650557684238127,0.35512225779998313,10,200,SGD,0.15
"[0.9410204081632653,0.9816223401702844]",Xe0HK,31,56,50,0.001631177523985588,0.7,relu,0.05066528957666728,0.9816223401702844,0.321694084369905,9,200,adam,0.15
"[0.9350000000000002,0.9782630042876812]",ybJqC,75,43,30,0.08179599170351283,0.7,elu,0.08444548095068592,0.9782630042876812,0.37220481075524914,10,200,adam,0.15
"[0.9408163265306122,0.9857537149823505]",qxZaU,56,79,50,0.009031929635834832,0.7,tanh,0.0674496255538011,0.9857537149823505,0.2607600089447579,9,200,adam,0.15
"[0.9384693877551019,0.9742654556294174]",IPtc1,25,50,100,0.005248390694500637,0.7,tanh,0.04008999131961062,0.9742654556294174,0.33657379686510136,5,200,adam,0.15
"[0.9387755102040816,0.9684768382387403]",d9fJ2,98,39,30,0.0023852657068270063,0.7,elu,0.07216338672031339,0.9684768382387403,0.3482089620618681,9,200,SGD,0.15
"[0.5101530612244899,0.9599178594836022]",lXJGZ,66,67,5,0.0453073871325632,0.7,tanh,0.057258492543050585,0.9599178594836022,0.38923138521063727,3,200,adam,0.15
"[0.9013265306122449,0.9205003641192]",wbEvP,84,22,50,0.0009899664022904242,0.7,relu,0.05946542929928117,0.9205003641192,0.2781693988458693,4,200,adam,0.15
