epochs,learning_rate,trialJobId,dropout,batch_size,optimizer,train_frac,preweight,activation,intermediate,layer_1,reward,layer_2,test_frac,regularization
200,0.0413017779683993,XAehw,0.1584675071006348,50,adam,0.7,7,tanh,"[0.5184294871794872,0.729958763782415]",83,0.729958763782415,72,0.15,0.016947353163812857
200,0.0043090696736529845,qZRd2,0.1803538307228313,50,adam,0.7,8,tanh,"[0.5296474358974359,0.7054115756954926]",64,0.7054115756954926,31,0.15,0.002387262570327016
200,0.030037366208814004,SXU3j,0.07345718384926692,50,adam,0.7,9,tanh,"[0.5296474358974359,0.732119117911755]",29,0.732119117911755,81,0.15,0.012614783805787733
200,0.00654337710922442,KYkc8,0.07365731967133567,50,adam,0.7,10,tanh,"[0.5578525641025641,0.7221097795495309]",36,0.7221097795495309,85,0.15,0.012019148923481906
200,0.1729586936140222,Ok0BW,0.04227368747592408,50,adam,0.7,9,tanh,"[0.5312500000000001,0.671460428430643]",38,0.671460428430643,63,0.15,0.0058752892372899625
200,0.031275077571137705,ZUDwl,0.029486923587728288,50,adam,0.7,9,tanh,"[0.5126602564102564,0.7355563608406277]",20,0.7355563608406277,45,0.15,0.01476659665061781
200,0.0011505272141797392,ZJnzP,0.09058811577416899,50,adam,0.7,10,tanh,"[0.5493589743589743,0.7121955386674704]",52,0.7121955386674704,47,0.15,0.008127595498477507
200,0.33613689973405786,eD53P,0.025286310840055948,50,adam,0.7,8,tanh,"[0.5134615384615384,0.6481432704472082]",19,0.6481432704472082,42,0.15,0.021461457576751858
200,0.015354228269250605,iSyfI,0.12637577396072935,50,adam,0.7,7,tanh,"[0.5318910256410256,0.7598716826754264]",29,0.7598716826754264,18,0.15,0.0032972281471355044
200,0.014272975113641178,fvUx5,0.12118201910528764,50,SGD,0.7,6,tanh,"[0.4778846153846154,0.6179585424834313]",61,0.6179585424834313,19,0.15,0.008657353298657501
200,0.01010491842778501,c46AK,0.19804417408259967,50,adam,0.7,7,tanh,"[0.5370192307692306,0.709150272732903]",70,0.709150272732903,34,0.15,0.0023579755923856397
200,0.06503090912144328,rAN0e,0.17275225080149528,50,adam,0.7,7,tanh,"[0.5110576923076924,0.6808579218010389]",77,0.6808579218010389,10,0.15,0.025518274229969634
200,0.0018622488799367102,bhAyF,0.14963138181620514,50,adam,0.7,6,elu,"[0.5248397435897436,0.7094303468971124]",28,0.7094303468971124,24,0.15,0.03196132691831246
200,0.003799349771974814,FlPEB,0.19140157800576987,50,SGD,0.7,7,tanh,"[0.44407051282051285,0.48428978005644285]",10,0.48428978005644285,53,0.15,0.02219663713555129
200,0.0002661460118257847,yAE5x,0.12532632851784364,70,adam,0.7,5,relu,"[0.4857371794871795,0.5972947049246188]",48,0.5972947049246188,40,0.15,0.0033362323137929046
200,0.0006422351297294831,iwhbW,0.2140284075089353,50,adam,0.7,6,tanh,"[0.5471153846153847,0.6827537163319249]",43,0.6827537163319249,28,0.15,0.029120504416098196
200,0.018659815453236188,UF19M,0.10845343090183955,30,adam,0.7,8,tanh,"[0.5192307692307693,0.6746183728283693]",88,0.6746183728283693,92,0.15,0.035184774066549865
200,0.00016551332832469865,siJcx,0.0867611988782255,5,adam,0.7,5,elu,"[0.5341346153846154,0.6939525794176089]",40,0.6939525794176089,70,0.15,0.014158996320420498
200,6.363145474598834e-05,RHJBg,0.24085078482714026,50,SGD,0.7,7,tanh,"[0.5056089743589745,0.43355483136948314]",98,0.43355483136948314,14,0.15,0.017695751890025875
200,0.00632397238374558,o6uNO,0.05654787010248466,10,adam,0.7,6,relu,"[0.5217147435897436,0.684712412693222]",57,0.684712412693222,56,0.15,0.04395022070106519
200,0.09801292379665483,Md310,0.13805248688409033,50,adam,0.7,8,tanh,"[0.48429487179487174,0.6572343416315661]",52,0.6572343416315661,30,0.15,0.04011633680464206
200,0.00189215274731657,x1gk9,0.2277552347291275,70,adam,0.7,7,tanh,"[0.5684294871794873,0.6958411653093388]",73,0.6958411653093388,79,0.15,0.010174584962683794
200,0.0029680389319916736,Bpqh8,0.15322239954602893,50,adam,0.7,8,tanh,"[0.5169871794871794,0.7189336544179481]",29,0.7189336544179481,20,0.15,0.03424530764873113
200,0.0010342761860183344,xZ14n,0.14354853398468315,30,SGD,0.7,6,elu,"[0.4301282051282051,0.4693805332319748]",107,0.4693805332319748,62,0.15,0.0192239787595954
200,0.00040382210500432535,ExO2F,0.12769602120853754,50,adam,0.7,7,tanh,"[0.5474358974358975,0.7158675952930482]",61,0.7158675952930482,38,0.15,0.0045077620293382525
200,0.48136267587057124,Rcd35,0.25389332165170564,5,adam,0.7,5,relu,"[0.5057692307692307,0.5243571458055801]",80,0.5243571458055801,33,0.15,0.02271881188764846
200,0.07179478847411042,S4aoS,0.20797705801083194,10,adam,0.7,8,tanh,"[0.48589743589743595,0.622142617910834]",118,0.622142617910834,66,0.15,0.006856810614245533
200,0.0005451389593854308,DL1pa,0.1666211746429381,50,adam,0.7,9,tanh,"[0.5517628205128204,0.7258736938633978]",68,0.7258736938633978,10,0.15,0.026867567555282523
