optimizer,test_frac,preweight,reward,regularization,trialJobId,epochs,layer_1,activation,batch_size,learning_rate,dropout,layer_2,train_frac
SGD,0.15,9,0.43537245708471267,0.03968768228716432,jThmd,200,104,tanh,5,4.869299205768131e-06,0.005124083210579499,64,0.7
adam,0.15,10,0.6619981748069983,0.04653476260994428,CMQqq,200,58,tanh,5,2.2426702385131304e-05,0.016062253484794165,92,0.7
SGD,0.15,9,0.5704440938835246,0.03482874360479561,HNYwY,200,96,tanh,5,0.0001878835120621487,0.08873754350698065,68,0.7
adam,0.15,8,0.6064661475498332,0.05599553293127558,WBe11,200,66,tanh,5,7.442571282532061e-05,0.04734630654396668,55,0.7
adam,0.15,8,0.6655297441800736,0.0037887033397746815,pee75,200,120,tanh,5,0.0013256792107310894,0.12394318483698558,47,0.7
SGD,0.15,10,0.6323723377223975,0.04247107482560462,hP3yH,200,115,tanh,5,0.0007142950341697188,0.07519861006289819,31,0.7
adam,0.15,8,0.6401788389652056,0.037725952699132745,dq6Gv,200,192,tanh,5,1.3451373597675566e-06,0.1332433998664983,18,0.7
SGD,0.15,9,0.5214030251020703,0.06292075394273038,MXeZO,200,186,tanh,5,1.1359599422858564e-05,0.1122667287500303,59,0.7
adam,0.15,8,0.5712123145705752,0.05300255444368554,DH11u,200,36,tanh,30,0.08196434315785187,0.3903083615803431,38,0.7
adam,0.15,7,0.656519620681232,0.0703663009090301,gS9tM,200,108,tanh,5,2.9315922654403708e-05,0.1923863248283668,43,0.7
adam,0.15,7,0.6598244555192329,0.06041980049618136,d2UvZ,200,101,tanh,50,1.5588133097027503e-05,0.2960601209458161,71,0.7
adam,0.15,6,0.6290099529050065,0.05457634054325066,uqNiH,200,112,tanh,100,5.990052742712531e-05,0.3219818136636738,51,0.7
adam,0.15,8,0.595792028679865,0.06386184466797523,SfDHq,200,127,elu,10,9.091525250547033e-05,0.3731083432308214,83,0.7
adam,0.15,7,0.6517926509332994,0.08014245998015766,c7NUm,200,144,tanh,30,0.00011945537030712906,0.2874344150689747,22,0.7
adam,0.15,7,0.597676668040125,0.058651110623928714,OY31U,200,89,tanh,70,7.738998254305936e-06,0.32932756707873156,33,0.7
adam,0.15,6,0.614033988059029,0.04430284350855828,tIMTw,200,200,elu,100,3.5251442143889276e-05,0.31246207274311033,65,0.7
adam,0.15,7,0.5801959509889394,0.06735082861918854,FTjja,200,136,tanh,10,2.012106238998377e-05,0.3620223961168095,47,0.7
adam,0.15,8,0.6381130650036864,0.07328058739671603,dDMTF,200,123,tanh,5,4.512410770352049e-06,0.3426629648517708,58,0.7
adam,0.15,8,0.6334259247178063,0.01961580550525005,lwCkN,200,152,relu,30,0.0002816565792326081,0.24413407635523454,88,0.7
adam,0.15,9,0.5312615454633911,0.0753539782390352,MJoWF,200,53,elu,50,3.052354403092981e-06,0.2721078601176654,17,0.7
adam,0.15,6,0.69310861326494,0.04808482544594283,yxLDO,200,70,tanh,100,0.0034151260273201376,0.14437934720973117,110,0.7
adam,0.15,7,0.5846304043269898,0.03184817051964281,FN5GH,200,42,tanh,10,0.04053187385759081,0.14671802362480835,140,0.7
adam,0.15,6,0.639228413598019,0.05061267717456552,e4Gt7,200,18,tanh,100,0.01581899293960628,0.17338524605807126,134,0.7
adam,0.15,6,0.612548035053462,0.04732419070837676,dHk5q,200,72,tanh,30,0.004583917382728678,0.0006465012901489403,110,0.7
adam,0.15,5,0.5361623397644902,0.056502204530021666,qB1Ck,200,54,tanh,5,0.148042512614963,0.06390368498965757,121,0.7
adam,0.15,7,0.5984871336699329,0.035173299182190046,z9ShA,200,23,tanh,70,0.020802126940618823,0.1089295607006587,131,0.7
adam,0.15,8,0.6311949822875683,0.025447501098051575,DNIRm,200,79,tanh,10,0.003697551863579137,0.017996607689509198,127,0.7
SGD,0.15,6,0.5582719298351645,0.03974425920280068,ZyGnN,200,62,tanh,100,0.0019824254843313197,0.038595169499437934,115,0.7
adam,0.15,9,0.5817749544624589,0.041877145052387606,bFXdC,200,33,tanh,30,0.06605013330130467,0.08183218721578131,94,0.7
SGD,0.15,8,0.6804504516702137,0.029544024664910393,Do5Db,200,50,tanh,5,0.02785094309310957,0.05035184999403797,103,0.7
