layer_2,dropout,regularization,activation,epochs,layer_1,test_frac,train_frac,preweight,trialJobId,batch_size,reward,optimizer,learning_rate
36,0.32652585759355846,0.06136430100633335,tanh,200,74,0.15,0.7,10,FgBCK,10,0.5749735309210868,adam,0.00012733483716561366
60,0.3050102074011661,0.031832510235600256,elu,200,180,0.15,0.7,9,SKPNs,70,0.5083985021895776,adam,0.06395890571899772
135,0.016352968027599103,0.058136329382590377,tanh,200,132,0.15,0.7,7,xnaAX,50,0.512047546787217,adam,0.011270445109566105
68,0.008913021318542054,0.035177369560942764,tanh,200,146,0.15,0.7,6,C5bhZ,30,0.6113174838863977,adam,0.0014581914042287056
43,0.2654133868588578,0.07422141994666376,relu,200,109,0.15,0.7,8,ss3KI,50,0.4628136372247281,SGD,0.005475827350946449
165,0.12912437469270613,0.038339054097770324,tanh,200,162,0.15,0.7,3,mfawz,70,0.5404945020212549,adam,0.036973252867471766
150,0.0960794949218361,0.06559990974723488,tanh,200,54,0.15,0.7,9,z5wvn,100,0.6339133322590458,adam,0.002026822051759925
24,0.25368931068597567,0.08165522240117641,tanh,200,37,0.15,0.7,9,VxnRo,5,0.5396869635074576,adam,0.00019544274659836797
125,0.17417168741868616,0.06890818005942123,elu,200,156,0.15,0.7,8,A4czh,50,0.5883591104814163,adam,0.0032878609502305957
105,0.1997378663194868,0.05301673560013001,tanh,200,81,0.15,0.7,10,O4SKC,70,0.5222381755238557,adam,0.015300317234924284
12,0.030108543274433557,0.04603539494749695,tanh,200,167,0.15,0.7,10,DqwJn,10,0.49991159289277054,SGD,0.00041464391638783895
175,0.22058938043498616,0.0903082004818868,relu,200,46,0.15,0.7,7,tMUhA,50,0.550717243530847,adam,0.008891044108907346
121,0.28625533027238403,0.049126433319757815,tanh,200,124,0.15,0.7,8,XjmXN,70,0.5998368000670503,adam,0.0009230631169513142
141,0.1841988955503815,0.08446363394516274,tanh,200,150,0.15,0.7,9,CN7uL,30,0.6101294758142185,adam,0.0006094003315043763
54,0.04837967921273679,0.0876784590462069,tanh,200,137,0.15,0.7,8,Xmm6M,50,0.5994336494982788,adam,0.0036628649993889913
129,0.05741973908665554,0.0770904563115837,elu,200,98,0.15,0.7,9,m4gDZ,100,0.4238265908035156,SGD,0.0002981560659644883
110,0.08032044018178322,0.07085270553482415,tanh,200,190,0.15,0.7,10,eQDVN,70,0.46124990545957656,adam,1.036608369723228e-06
117,0.10967097707088372,0.06076955716483709,tanh,200,199,0.15,0.7,7,pK8Ry,5,0.5797787553856278,adam,0.0012506738122975377
145,0.00538786223814202,0.023289305062976388,relu,200,68,0.15,0.7,6,kd5mP,50,0.4890208700009461,adam,4.411083253884507e-05
91,0.06844020586493604,0.04072714998990358,tanh,200,61,0.15,0.7,5,Sh0Nn,70,0.49718670780602425,adam,0.07785502302360453
86,0.14161622008898941,0.04341791870034423,tanh,200,86,0.15,0.7,10,kvFXZ,10,0.5594831576207586,adam,0.0026997475457383236
62,0.03715924020901607,0.06786263104222531,tanh,200,171,0.15,0.7,8,ORiDi,50,0.4184328519506428,SGD,0.00011552361255070384
40,0.06291181624506875,0.019173930504203233,elu,200,141,0.15,0.7,9,iElXD,70,0.5926084039496912,adam,0.006974700153247036
99,0.020031443410001477,0.0557151723072941,tanh,200,117,0.15,0.7,7,H4Stu,30,0.5147907025203279,adam,0.3434968148092393
160,0.16203687622233853,0.06257610057293439,tanh,200,112,0.15,0.7,9,HYKcz,50,0.5943775510310307,adam,0.004617793820293945
57,0.2118045022161584,0.07548539422249102,relu,200,25,0.15,0.7,8,sp1HG,100,0.5420301154211076,adam,0.031905965500058364
131,0.18886449399146754,0.05789480323660235,tanh,200,127,0.15,0.7,8,Fexru,70,0.6290797345357747,adam,0.0008144489468156394
72,0.24431133385228584,0.047115537860802116,tanh,200,160,0.15,0.7,9,WAQyg,5,0.5845225027270343,adam,0.0017487122275847127
115,0.295137505835339,0.050938017531907326,tanh,200,92,0.15,0.7,10,Hbeb8,50,0.5716254655138415,SGD,0.04505275638106199
79,0.31750909892576495,0.06606053901544891,elu,200,105,0.15,0.7,6,QRX7F,70,0.5518839910310455,adam,0.0005050990472413563
15,0.049573410844542504,0.07254082424399177,tanh,200,132,0.15,0.7,10,pNaPb,10,0.5059998862277035,adam,0.12424679907432121
106,0.09764148221897062,0.09445950154928248,tanh,200,177,0.15,0.7,7,DNVyp,50,0.5059787236141639,adam,0.18528434030561658
20,0.12209024239400804,0.05296949452912124,relu,200,153,0.15,0.7,8,Pc4DD,70,0.5764812910116478,adam,0.001116984052862557
139,0.07488914794434784,0.02870073848175863,tanh,200,146,0.15,0.7,7,j7XLA,50,0.5083400980790745,adam,0.020278075931119063
95,0.36934202418013173,0.05952451669052744,tanh,200,121,0.15,0.7,9,wn1ux,30,0.5504607567718554,SGD,0.01127678926584322
154,0.26135847624791725,0.006395139967393666,tanh,200,96,0.15,0.7,9,VVytF,70,0.6109490158337139,adam,0.0023117409059599512
46,0.2766944350811551,0.03346015949366503,elu,200,135,0.15,0.7,8,jvOIp,100,0.5088482630154344,adam,0.00035303036615966867
