,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
nCjrb,0.0961196961706897,5.0,0.06547263195099981,SGD,relu,1.1676074603236737e-05,41.0,172.0,0.7,0.15,200.0,0.628529685647585,0.08625109113807601,-1,-1
ZRA0C,0.14616826905002853,5.0,0.059485874147095344,SGD,relu,7.963979184482876e-06,10.0,66.0,0.7,0.15,200.0,0.6336243947358291,0.04239138418361013,-1,-1
N80IV,0.0003586412128293086,5.0,0.05492384691603349,SGD,relu,4.167104834244979e-06,47.0,19.0,0.7,0.15,200.0,0.49733458850796275,0.022440889455632163,-1,-1
yBES9,0.032226544269703505,5.0,0.13648568707340636,SGD,relu,2.2402844722840857e-05,20.0,103.0,0.7,0.15,200.0,0.6337185851375061,0.0698014802684477,-1,-1
WQ4Dq,0.0032483417154270354,5.0,0.06276084895870922,SGD,relu,1.9228607711445083e-05,37.0,183.0,0.7,0.15,200.0,0.6288238599180027,0.04021088341521423,-1,-1
zlRO7,0.4058148662048031,5.0,0.04112646798190341,SGD,relu,2.404166185340052e-06,33.0,80.0,0.7,0.15,200.0,0.6605301529859935,0.030379547734819427,-1,-1
RSUWb,0.006277610405827379,5.0,0.03554576536900797,SGD,relu,9.992948372804445e-06,66.0,177.0,0.7,0.15,200.0,0.6333473025429759,0.07209442862684005,-1,-1
vx8Sh,1.7019965535949476e-05,50.0,0.11713205957857832,SGD,relu,1.5513004996977945e-05,174.0,114.0,0.7,0.15,200.0,0.47349289733801836,0.05971958349642947,-1,-1
xWPbS,0.4977552000335217,5.0,0.09023566099991873,SGD,relu,3.6220655188357167e-07,26.0,169.0,0.7,0.15,200.0,0.6004813493792123,0.07857656380442087,-1,-1
U6uXz,1.0217143556337293e-06,5.0,0.04975817914878334,adam,relu,1.2431945782698893e-05,51.0,195.0,0.7,0.15,200.0,0.49836184116170223,0.021050703107837968,-1,-1
QlZMf,0.30054071057558623,10.0,0.10805413821209009,SGD,relu,6.396364614566342e-06,45.0,10.0,0.7,0.15,200.0,0.6486087383193294,0.023362007306896665,-1,-1
shWGa,0.19233868136266558,100.0,0.07787395462969651,SGD,relu,3.100844511885388e-05,10.0,124.0,0.7,0.15,200.0,0.5535262092377509,0.03161021161266101,-1,-1
fbufb,0.0011264708652155995,5.0,0.14995134472914834,SGD,tanh,1.7465488061928034e-05,56.0,188.0,0.7,0.15,200.0,0.5439563032381471,0.0803496547056381,-1,-1
jEFkn,0.08288602797919338,70.0,0.09465637865443295,SGD,relu,2.0015122200468668e-05,17.0,23.0,0.7,0.15,200.0,0.6465365369857177,0.02878353360948365,-1,-1
ipMpx,0.01684601803310075,5.0,0.0677111437470165,SGD,relu,2.717159876430901e-05,28.0,200.0,0.7,0.15,200.0,0.5758285195648052,0.09248443902200117,-1,-1
M32VD,0.04201937494651682,5.0,0.0444415793315764,adam,relu,2.572964272583262e-05,63.0,29.0,0.7,0.15,200.0,0.5335290190490063,0.03820192024462888,-1,-1
WjkZe,0.012179007890675652,50.0,0.12941442943029946,SGD,relu,9.066910560351148e-06,40.0,56.0,0.7,0.15,200.0,0.4815383576115268,0.04462973747605948,-1,-1
eNKYW,0.0006118342469360353,5.0,0.08696966829252428,SGD,relu,2.3319109687582213e-05,35.0,47.0,0.7,0.15,200.0,0.4920929887451047,0.027992107763140695,-1,-1
HozWe,0.11346675292422086,10.0,0.12310974084273535,SGD,tanh,1.4188275062885528e-05,22.0,156.0,0.7,0.15,200.0,0.6349569138426366,0.08040331348602732,-1,-1
laBcv,0.1660464449144978,5.0,0.03763414756006077,SGD,relu,6.267911739329626e-06,48.0,162.0,0.7,0.15,200.0,0.7223447314293361,0.07466007586112548,-1,-1
TFXLu,0.15851991004250104,5.0,0.021439939050633985,SGD,relu,3.4198949445414255e-06,59.0,164.0,0.7,0.15,200.0,0.6310369314524114,0.03771822690460572,-1,-1
NaF5P,0.24267775449764276,5.0,0.026865733753826143,SGD,relu,5.356499015854053e-06,50.0,176.0,0.7,0.15,200.0,0.6681216212442254,0.05505793033785407,-1,-1
