,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Hs4fA,0.004839920580939405,50.0,0.010892459128007573,SGD,elu,4.510718579877903e-05,14.0,139.0,0.7,0.15,200.0,0.5104042982806265,0.04686100807722236,-1,-1
aiprW,0.007414875882802609,50.0,0.10848287487855571,SGD,elu,5.748351229887357e-05,50.0,150.0,0.7,0.15,200.0,0.5098638935904641,0.03006553824564052,-1,-1
wI2mE,0.00021406694672967603,50.0,0.08627450835301555,SGD,elu,5.152422156983681e-05,65.0,159.0,0.7,0.15,200.0,0.45711526422468857,0.03397746559825168,-1,-1
Ol3UY,0.4162856182895213,5.0,0.02040242012573973,SGD,elu,6.60395224737627e-05,35.0,119.0,0.7,0.15,200.0,0.5719572911055295,0.05695972183720196,-1,-1
OpXDu,0.026979717249077488,30.0,0.007012819541005369,SGD,elu,7.273687792591375e-05,97.0,129.0,0.7,0.15,200.0,0.5860517288366254,0.034890079329075126,-1,-1
FJch0,0.045411631741464197,100.0,0.11792680387455459,SGD,tanh,1.4882509297765156e-05,43.0,100.0,0.7,0.15,200.0,0.5578777499252009,0.08271276786215358,-1,-1
NIwwm,0.16484994951973092,70.0,0.12445335357671979,SGD,elu,4.061788132675189e-05,54.0,92.0,0.7,0.15,200.0,0.5516378739427361,0.078644552260823,-1,-1
GJ6XS,0.0006026974626741711,50.0,0.10116689872341197,SGD,relu,6.067906604496841e-05,199.0,174.0,0.7,0.15,200.0,0.46829809581543935,0.03982476978071165,-1,-1
Q9p0q,0.08177736853067712,30.0,0.13593108081798766,SGD,tanh,8.811618215037045e-05,168.0,113.0,0.7,0.15,200.0,0.5940429944961141,0.05656950576603881,-1,-1
p7QAV,0.10032915222150438,100.0,0.11045258848552213,SGD,tanh,2.654112988206807e-05,134.0,65.0,0.7,0.15,200.0,0.557107248308758,0.08502151813249371,-1,-1
Rx5py,0.19584612611623567,10.0,0.04867251598995094,SGD,elu,8.187208252953034e-06,75.0,79.0,0.7,0.15,200.0,0.6007960471908991,0.07158268005807579,-1,-1
QasAe,0.3537666270021,50.0,0.142310583057271,adam,tanh,9.547647038021991e-05,191.0,152.0,0.7,0.15,200.0,0.4991734066759209,0.020386939181424948,-1,-1
lwxbE,0.4989436009286141,5.0,0.04071625089289113,SGD,relu,3.1571644004698595e-05,114.0,141.0,0.7,0.15,200.0,0.5733862772763458,0.11173033776462286,-1,-1
q1lSw,0.022164060537379446,30.0,0.06499324074385701,SGD,tanh,5.38447123754312e-05,88.0,75.0,0.7,0.15,200.0,0.5800398801476963,0.08704628474238621,-1,-1
qw0MA,0.01361497444265383,100.0,0.015545803228282015,SGD,elu,4.541109320346182e-05,176.0,168.0,0.7,0.15,200.0,0.47518229279489343,0.05272507251190633,-1,-1
V0ICX,0.0031970489742700965,50.0,0.12870810778417918,SGD,tanh,1.716126431641492e-05,15.0,137.0,0.7,0.15,200.0,0.5052438309266389,0.053694950472468146,-1,-1
LPv6q,0.24348018602681257,70.0,0.029511507898009978,adam,tanh,5.829958668642015e-05,183.0,123.0,0.7,0.15,200.0,0.5167656662542407,0.056094065842352735,-1,-1
LKyYg,0.008124813067400411,30.0,0.056634799592812396,SGD,elu,2.619684195971685e-06,122.0,146.0,0.7,0.15,200.0,0.525515346448236,0.047845525476092485,-1,-1
