,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
hBInt,0.0001481903420700115,5.0,0.2440833105783091,SGD,tanh,0.050482153440439895,91.0,163.0,0.7,0.15,200.0,68.0,0.46702250312775834,0.08739350826108186,0.513237639553429,0.14269786240366808
Y2BTw,0.0012998443215347583,50.0,0.03229840776595112,SGD,tanh,0.05781929723387295,87.0,158.0,0.7,0.15,200.0,67.0,0.47826911589670784,0.07337421305555133,0.5153110047846889,0.13603343813764343
gYRsU,0.0005400190352487963,50.0,0.09424361132736588,adam,relu,0.061408592633412265,66.0,159.0,0.7,0.15,200.0,38.0,0.6038867828080221,0.15154307033692974,0.6344497607655503,0.17700626254364066
H6pNg,0.18941193439999135,30.0,0.04290651639989673,SGD,relu,0.07452919420158573,73.0,165.0,0.7,0.15,200.0,33.0,0.5515567039212332,0.08652158076549918,0.5519936204146731,0.11966920720575966
W2g5X,6.0618911476074136e-05,100.0,0.22930010172906817,adam,relu,0.07361703991357856,158.0,13.0,0.7,0.15,200.0,38.0,0.5183951825743862,0.06256642900975347,0.5511961722488039,0.1344975234945763
vOvfM,0.0001107975155847653,100.0,0.0523725250694354,adam,relu,0.02160131725118596,181.0,105.0,0.7,0.15,200.0,20.0,0.5685128590838954,0.1123974855867042,0.6496012759170654,0.14516982612621981
rcWSg,3.717534801791576e-05,5.0,0.3544382837055127,adam,elu,0.09148570189698779,116.0,122.0,0.7,0.15,200.0,69.0,0.6940434659227935,0.10281218534600292,0.7429824561403507,0.14924516724290085
QnKsX,0.08386450884789373,70.0,0.29994527285490624,SGD,relu,0.025865036169078138,161.0,35.0,0.7,0.15,200.0,65.0,0.6579186989481107,0.1954806917605658,0.6580542264752791,0.19363177830438097
r0U3l,0.00012990472660370865,100.0,0.13302410895597375,SGD,relu,0.018633575359987522,178.0,126.0,0.7,0.15,200.0,28.0,0.4692964291146537,0.08198898059174217,0.5253588516746411,0.08769232585174293
fuMeA,0.0015606790992782333,70.0,0.33896984826628485,SGD,tanh,0.09216601115031264,102.0,180.0,0.7,0.15,200.0,18.0,0.5091912428163253,0.08079712843089734,0.6433014354066986,0.08668378941878506
bpOsw,1.0813795122799966e-05,30.0,0.3401962490962876,adam,elu,0.05522054256798972,97.0,197.0,0.7,0.15,200.0,35.0,0.5811184546121332,0.16543232873932495,0.7175438596491228,0.16250490998959582
