learning_rate,reward,layer_2,preweight,test_frac,train_frac,dropout,batch_size,regularization,layer_1,activation,epochs,trialJobId,optimizer,intermediate
0.02849859066721775,0.529274897414014,102,4,0.15,0.7,0.16853954599614102,100,0.04801536143760481,164,tanh,200,B7ZNA,adam,"[0.5636363636363637,0.529274897414014]"
0.2770847415037566,0.5687871372846891,18,5,0.15,0.7,0.2589758105964058,50,0.05482808006341405,193,elu,200,wKwgo,adam,"[0.5419421487603306,0.5687871372846891]"
0.12560471010660013,0.547399575036908,47,9,0.15,0.7,0.09663209010428692,100,0.010663281376753993,75,elu,200,qFk3L,adam,"[0.5576446280991735,0.547399575036908]"
0.005056987841594693,0.4924556117387782,129,6,0.15,0.7,0.27273458801168915,5,0.08104990797456302,41,relu,200,Png30,SGD,"[0.5330578512396694,0.4924556117387782]"
0.011815422706616724,0.5437773730892898,32,5,0.15,0.7,0.20147377454824003,70,0.03592186846572509,117,elu,200,ZFXhY,adam,"[0.540289256198347,0.5437773730892898]"
0.0019951582112752242,0.5029494880511628,61,2,0.15,0.7,0.16335436975008616,100,0.0305259864266191,176,tanh,200,H1sRs,adam,"[0.5669421487603306,0.5029494880511628]"
1.5255690926125788e-05,0.46754255150422364,76,4,0.15,0.7,0.18661978447110056,100,0.0058202244828,136,relu,200,sNYPg,adam,"[0.5266528925619836,0.46754255150422364]"
5.864432880329528e-05,0.4465158101704767,194,3,0.15,0.7,0.21597469554022172,30,0.021035102085159185,163,elu,200,ajSiR,SGD,"[0.4555785123966943,0.4465158101704767]"
0.022132959445329493,0.5667211053389052,110,2,0.15,0.7,0.24378782676885535,10,0.014450008562562046,108,elu,200,mzipG,adam,"[0.5039256198347107,0.5667211053389052]"
2.7295957419722064e-06,0.43463389500528676,23,7,0.15,0.7,0.29100168605505394,100,0.07070940788534792,200,relu,200,HUQxt,adam,"[0.4865702479338843,0.43463389500528676]"
0.05162254092174562,0.5346734869217826,11,7,0.15,0.7,0.22329392394248043,10,0.042494427856730965,48,relu,200,VNY3f,adam,"[0.5068181818181818,0.5346734869217826]"
0.03152927587081186,0.5618145184750489,37,8,0.15,0.7,0.2005419427478903,10,0.04388387391399477,80,relu,200,tk1fr,adam,"[0.4793388429752066,0.5618145184750489]"
0.09505635460698157,0.4847547749418539,25,8,0.15,0.7,0.30645754225315275,10,0.04058877517530568,100,relu,200,Dhm4L,adam,"[0.5012396694214877,0.4847547749418539]"
0.00884419642209487,0.5466760801008139,46,7,0.15,0.7,0.2451445885256161,10,0.04708757839514816,101,relu,200,eO7Vb,adam,"[0.5634297520661157,0.5466760801008139]"
0.4751614300002996,0.5089424489096587,16,6,0.15,0.7,0.263299768796063,10,0.06705659260860597,67,relu,200,PJv7X,adam,"[0.5426652892561983,0.5089424489096587]"
0.2889391686349924,0.4608107168555781,56,9,0.15,0.7,0.21990424995743657,10,0.05260155255574961,103,relu,200,XLtRf,adam,"[0.5060950413223141,0.4608107168555781]"
0.016097599335111998,0.5317269164934569,34,9,0.15,0.7,0.2823350647649413,50,0.05980963910352942,93,relu,200,lAcAU,adam,"[0.5543388429752066,0.5317269164934569]"
0.06321916733777107,0.5315580168031191,65,6,0.15,0.7,0.17736679648764148,100,0.07377487880256726,81,relu,200,bt3Ny,adam,"[0.5698347107438017,0.5315580168031191]"
0.00025608402911098945,0.4668223567425631,49,10,0.15,0.7,0.13397719517396028,10,0.057334120294875376,88,relu,200,tp1jt,adam,"[0.5338842975206611,0.4668223567425631]"
0.0051879803044192555,0.5009215687369848,87,7,0.15,0.7,0.19248492699980987,5,0.06248793405413362,186,relu,200,AQKv6,adam,"[0.5489669421487604,0.5009215687369848]"
0.002795862955731484,0.542171289326663,41,5,0.15,0.7,0.22965507037358254,100,0.029166467378515283,145,elu,200,h8ILw,adam,"[0.5915289256198347,0.542171289326663]"
