layer_2,train_frac,epochs,trialJobId,reward,layer_1,test_frac,intermediate,optimizer,batch_size,activation,learning_rate,dropout,regularization,preweight
44,0.7,200,mBdJL,0.5593425313541929,73,0.15,"[0.5520983606557377,0.5593425313541929]",adam,100,tanh,8.462759724429909e-05,0.018172965466083185,0.09170557671279428,43
92,0.7,200,Wzafu,0.590464005834292,145,0.15,"[0.5602622950819672,0.590464005834292]",SGD,10,tanh,0.010112040051107768,0.19759240619971002,0.047849121198610525,70
94,0.7,200,GG86E,0.5840910452925552,143,0.15,"[0.5374754098360655,0.5840910452925552]",SGD,10,tanh,0.01934809756312094,0.2528476434790661,0.04741842064332995,69
142,0.7,200,gFPxX,0.585103049854697,131,0.15,"[0.5664918032786884,0.585103049854697]",SGD,10,elu,0.007423522628240812,0.20606437857056997,0.024456410909871162,67
75,0.7,200,MTeRO,0.4959444240059919,151,0.15,"[0.5053442622950819,0.4959444240059919]",SGD,10,tanh,0.053923072608583436,0.15011968914595542,0.04792291406235777,10
108,0.7,200,umGiX,0.5726412983196087,164,0.15,"[0.560983606557377,0.5726412983196087]",SGD,10,elu,0.0022780486000796634,0.17676613085478426,0.05680119418923683,55
129,0.7,200,eNGj6,0.5552257566912034,108,0.15,"[0.500688524590164,0.5552257566912034]",SGD,10,tanh,0.1353294275916888,0.29258088687931816,0.027923260867903976,30
152,0.7,200,D8qTd,0.5689815615752101,76,0.15,"[0.5584262295081966,0.5689815615752101]",SGD,50,tanh,0.01478058370889263,0.1931008021008738,0.040422086997758976,55
92,0.7,200,eQSUn,0.5399101479949001,149,0.15,"[0.5113114754098361,0.5399101479949001]",SGD,30,elu,0.0004901935529347902,0.2560212181631595,0.06534885726700701,70
113,0.7,200,ZdSrg,0.5514025104189401,130,0.15,"[0.530655737704918,0.5514025104189401]",SGD,10,tanh,0.01142475887036529,0.39904871018527577,0.07544255831634371,46
68,0.7,200,PKBfW,0.525232727387656,113,0.15,"[0.5194918032786886,0.525232727387656]",SGD,100,relu,0.18080396064037094,0.13903310322320045,0.04428843243363841,34
99,0.7,200,zWDeF,0.5340639904974633,93,0.15,"[0.48749180327868846,0.5340639904974633]",SGD,70,tanh,0.0011068538050035223,0.11272613187588736,0.035190062648032955,23
50,0.7,200,g9Ido,0.46217167723829944,143,0.15,"[0.48524590163934433,0.46217167723829944]",SGD,50,elu,1.9703752676603902e-05,0.16460890174213186,0.017497195202638472,61
125,0.7,200,IrUe3,0.48631806314764087,80,0.15,"[0.48927868852459017,0.48631806314764087]",SGD,10,tanh,0.03552668044687092,0.3115687993373254,0.08524848975791638,47
33,0.7,200,xCjZu,0.5840248810630873,98,0.15,"[0.5637704918032787,0.5840248810630873]",SGD,30,relu,0.005484835187845519,0.23919096817611868,0.05412235850106098,67
154,0.7,200,LmBy7,0.491264424070675,169,0.15,"[0.49340983606557376,0.491264424070675]",SGD,70,tanh,0.45374903697000685,0.3495957983599157,0.030736508738065015,53
73,0.7,200,M8rt5,0.5817625730025505,178,0.15,"[0.5304918032786885,0.5817625730025505]",SGD,100,elu,0.002139573627073524,0.2957551411024161,0.06452979544719918,42
191,0.7,200,SO7N4,0.48022872214541457,160,0.15,"[0.4697049180327869,0.48022872214541457]",SGD,10,relu,1.076627747379826e-06,0.26306821331516084,0.005087693895888645,57
87,0.7,200,KahUS,0.5210823203823125,126,0.15,"[0.5105245901639344,0.5210823203823125]",SGD,50,tanh,0.000375763973422163,0.1764047362658161,0.019904522903185208,66
115,0.7,200,BnusM,0.49938615429986494,137,0.15,"[0.4857704918032787,0.49938615429986494]",SGD,70,tanh,0.00010292250815607018,0.10799102287192695,0.09172358869854932,36
143,0.7,200,vZU4R,0.4808787427338642,156,0.15,"[0.48531147540983605,0.4808787427338642]",SGD,30,relu,3.5213051333181476e-06,0.20297407423580424,0.05815164294414648,61
107,0.7,200,xuZSx,0.5498316237803647,84,0.15,"[0.5271475409836066,0.5498316237803647]",SGD,10,elu,0.03400814570818417,0.24024717628513048,0.03782416826843792,49
