epochs,layer_1,optimizer,activation,test_frac,intermediate,batch_size,trialJobId,train_frac,dropout,layer_2,learning_rate,preweight,reward,regularization
200,149,adam,elu,0.15,"[0.8956937799043061,0.8124896224318297]",50,fL2X1,0.7,0.18758648313630882,168,1.0561612356256203e-06,57,0.8124896224318297,0.0298175039469301
200,145,adam,tanh,0.15,"[0.5,0.7196878182307367]",5,jd22z,0.7,0.08590646793019925,186,0.013683127430279553,26,0.7196878182307367,0.04700865956362203
200,140,adam,relu,0.15,"[0.8968102073365232,0.8787374751707315]",100,g58jm,0.7,0.2902317688091784,28,0.0001486554864677571,40,0.8787374751707315,2.489311663323064e-05
200,196,SGD,tanh,0.15,"[0.9001594896331738,0.870282184944914]",30,zcdzT,0.7,0.2133708432093678,86,0.061596184761944485,32,0.870282184944914,0.021391450563791638
200,83,adam,elu,0.15,"[0.8961722488038278,0.8629387520875417]",5,cAovq,0.7,0.2408685925086841,58,3.479582202062727e-05,38,0.8629387520875417,0.006383450366250911
200,174,adam,tanh,0.15,"[0.9027113237639555,0.8846179984727109]",100,wTgSo,0.7,0.1422867479520739,41,8.512962587884456e-05,42,0.8846179984727109,0.0522705725853815
200,130,SGD,tanh,0.15,"[0.5596491228070175,0.5168652871269186]",50,s2LKS,0.7,0.2932912130503206,150,1.160724890588243e-05,29,0.5168652871269186,0.033669406101537944
200,91,adam,relu,0.15,"[0.8798245614035087,0.848533504809159]",10,YVJtA,0.7,0.17878458267129893,70,0.001879682775012529,64,0.848533504809159,0.012648210343773334
200,162,adam,tanh,0.15,"[0.5,0.7706949395080229]",5,bFVGm,0.7,0.1551089990661435,102,0.009170967584277443,23,0.7706949395080229,0.025438821382682504
200,107,adam,tanh,0.15,"[0.9137161084529504,0.829690029674714]",30,vZUlJ,0.7,0.36167854465504795,123,2.2083193280930444e-06,34,0.829690029674714,0.001953741817217615
200,27,adam,tanh,0.15,"[0.8451355661881979,0.8729194556325993]",100,grcdE,0.7,0.31724577907255114,136,0.0002270356863179856,49,0.8729194556325993,0.007528740994406301
200,156,SGD,elu,0.15,"[0.8637958532695376,0.8235470871590722]",50,aY0uz,0.7,0.11510048997716628,110,0.0008334599582744877,67,0.8235470871590722,0.04105083297109922
200,66,adam,tanh,0.15,"[0.9004784688995215,0.8823136781356448]",5,aW772,0.7,0.2151082541756975,61,1.7181285236187978e-05,45,0.8823136781356448,0.03620956874361791
